fagri,7.5,(fire),x1 is a fire/flame in fuel x2 burning-in/reacting-with oxidizer x3 (default air/oxygen).
lindi,7.5,(lightning),x1 is lightning/electrical arc/thunderbolt striking at/extending to x2 from x3.
sligu,7.5.1,(solid),"x1 is solid, of composition/material including x2, under conditions x3."
panje,7.5.1,(sponge),x1 is a quantity of/contains/is made of sponge/porous material.
pulce,7.5.1,(dust ‘pulverized’),x1 is dust/precipitate [suspensible solid] from x2 in medium/on surface x3.
purmo,7.5.1,(powder),x1 is a powder of material x2.
pesxu,7.5.1,(paste),"x1 is paste/pulp/dough/mash/mud/slurry [soft, smooth-textured, moist solid] of composition x2."
jduli,7.5.1,(jelly),x1 is a quantity of jelly/semisolid [texture] of material/composition including x2.
litki,7.5.1,(liquid),"x1 is liquid/fluid, of composition/material including x2, under conditions x3."
lakse,7.5.1,(wax),x1 is quantity of wax [substance especially soft/moldable when warm] from source x2.
fonmo,7.5.1,(foam),"x1 is a quantity of foam/froth/suds of material x2, with bubbles/vacuoles of material x3."
gapci,7.5.1,(gas),"x1 is gaseous/fumes/a gas/vapor of material/composition including x2, under conditions x3."
danmo,7.5.1,(smoke),x1 is made of/contains/is a quantity of smoke/smog/air pollution from source x2.
runme,7.5.2,(melt ‘runny’),x1 melts [becomes liquid from solid state] at temperature x2 and pressure x3.
dunja,7.5.2,(freeze ‘jell’),x1 freezes/jells/solidifies at temperature x2 and pressure x3.
runta,7.5.2,(dissolve),x1 dissolves in solvent x2 forming solution/[suspension] x3 under conditions x4.
lunsa,7.5.2,(condense),"x1 condenses/liquefies on/into x2 at temperature x3, pressure x4; x1 is dew/condensate on x2."
febvi,7.5.2,(boil),x1 boils/evaporates at temperature x2 and pressure x3.
jelca,7.5.2,(burn),x1 burns/[ignites/is flammable/inflammable] at temperature x2 in atmosphere x3.
xukmi,7.5.3,(chemical),x1 is an instance of substance/chemical/drug x2 (individual or mass) with purity x3.
jilka,7.5.3,(alkali),x1 is a quantity of/contains/is made of alkali/base of composition including x2.
slami,7.5.3,(acid),x1 is a quantity of/contains/is made of acid of composition x2; (adjective:) x1 is acidic.
jinme,7.5.3,(metal),x1 is a quantity of/contains/is made of made of metal of composition including x2.
jinsa,7.5.3,(clean),x1 (object) is clean/pure of material/contaminant/dirt x2 by standard x3.
mixre,7.5.3,(mixture),x1 (mass) is a mixture/blend/colloid/commingling with ingredients including x2.
cidro,7.5.4,(hydrogen),"x1 is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable]."
kijno,7.5.4,(oxygen),x1 is a quantity of/contains/is made of oxygen (O); [metaphor: supporting life/combustion].
trano,7.5.4,(nitrogen),x1 is a quantity of/contains/is made of nitrogen/ammonia/nitrates.
tabno,7.5.4,(carbon),x1 is a quantity of/contains/is made of carbon/graphite/[diamond]/charcoal; x1 is organic.
sliri,7.5.4,(sulfur),"x1 is a quantity of/contains/is made of sulfur/brimstone (S); [metaphor: foul odor, volcanic]."
kliru,7.5.4,(chlorine),"x1 is a quantity of/contains/is made of halogen of type x2 [chlorine, fluorine, iodine, etc.]."
navni,7.5.4,(neon),x1 is a quantity of/contains/is made of inert gas of type x2 [neon/argon/radon/xenon/krypton].
sodna,7.5.4,(sodium),x1 is a quantity of/contains/is made of alkali metal of type x2 [default sodium].
margu,7.5.4,(mercury),x1 is a quantity of/contains/made of mercury/quicksilver; [metaphor: fluid metal; temperature].
rijno,7.5.4,(silver ‘argent’),"x1 is made of/contains/is a quantity of silver/argentum (Ag); [metaphor: valuable, tarnishing]."
solji,7.5.4,(gold),"x1 is a quantity of/contains/is made of gold (Au); [metaphor: valuable, heavy, non-reactive]."
tunka,7.5.4,(copper),"x1 is made of/contains/is a quantity of copper (Cu); [metaphor: reddish, electrical conductor]."
nikle,7.5.4,(nickel),x1 is made of/contains/is a quantity of nickel/other metal resistant to oxidation.
tinci,7.5.4,(tin),x1 is a quantity of/contains/is made of tin (Sn); [metaphor: cheap or base metal].
zinki,7.5.4,(zinc),x1 is a quantity of/contains/is made of zinc (Zn); [metaphor: hard metal].
tirse,7.5.4,(iron),"x1 is a quantity of/contains/is made of iron (Fe); [metaphor: strong, durable, tarnishing]."
cnisa,7.5.4,(lead),"x1 is a quantity of/contains/is made of lead (Pb); [metaphor: heavy, malleable, soft metal]."
romge,7.5.4,(chrome),"x1 is a highly reflective/polished non-tarnishing metallic surface, of metal x2 [often chromium]."
munje,8.1,(universe),x1 is a universe/cosmos [complete and ordered entirety] of domain/sphere x2 defined by rules x3.
tarci,8.1,(star),x1 is a star/sun with stellar properties x2.
plini,8.1,(planet),"x1 is a planet revolving around x2 with planetary characteristics x3, orbital parameters x4."
mluni,8.1,(satellite ‘moon’),"x1 is a satellite/moon orbiting x2 with characteristics x3, orbital parameters x4."
kensa,8.1,(outer space),x1 is outer space near/associated with celestial body/region x2.
solri,8.1,(solar),x1 is the sun of home planet x2 (default Earth) of race x3; (adjective:) x1 is solar.
terdi,8.1,(earth ‘terrestrial’),x1 is the Earth/the home planet of race x2; (adjective:) x1 is terrestrial/earthbound.
lunra,8.1,(lunar),x1 is Earth's moon (default); x1 is a major natural satellite/moon of planet x2.
tumla,8.2,(land),x1 is a parcel/expanse of land at location x2; x1 is terrain.
cmana,8.2,(mountain),x1 is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass x2.
djacu,8.2.1,(water ‘aqua-’),x1 is made of/contains/is a quantity/expanse of water; (adjective:) x1 is aqueous/[aquatic].
xamsi,8.2.1,(sea),"x1 is a sea/ocean/gulf/[atmosphere] of planet x2, of fluid x3; (adjective:) x1 is marine."
zbani,8.2.1,(bay),x1 is a bay in/of coast/shoreline x2.
daplu,8.2.1,(island),x1 is an island/atoll/key of [material/properties] x2 in surroundings/body x3; x1 is insular.
jmifa,8.2.1,(shoal ‘reef’),x1 is a shoal [shallow hazard]/reef of material x2 in body of water x3.
rirxe,8.2.1,(river),"x1 is a river of land mass x2, draining watershed x3 into x4/terminating at x4."
jinto,8.2.1,(well),x1 is a well/spring of fluid x2 at location x3.
lalxu,8.2.1,(lake ‘lagoon’),x1 is a lake/lagoon/pool at site/within land mass x2.
tsani,8.2.2,(sky),x1 is an expanse of sky/the heavens at place x2; [celestial].
vacri,8.2.2,(air),"x1 is a quantity of air/normally-gaseous atmosphere of planet x2, of composition including x3."
tcima,8.2.2,(weather ‘climate’),x1 is weather at place/region x2; (adjective:) x1 is meteorological.
brife,8.2.2,(breeze),x1 is a breeze/wind/gale from direction x2 with speed x3; x1 blows from x2.
dilnu,8.2.2,(cloud),x1 is a cloud/mass of clouds of material x2 in air mass x3 at floor/base elevation x4.
bumru,8.2.2,(fog),x1 is foggy/misty/covered by a fog/mist/vapor of liquid x2.
carvi,8.2.2,(rain),x1 rains/showers/[precipitates] to x2 from x3; x1 is precipitation [not limited to 'rain'].
snime,8.2.2,(snow),x1 is made of/contains/is a quantity/expanse of snow.
bisli,8.2.2,(ice),x1 is a quantity of/is made of/contains ice [frozen crystal] of composition/material x2.
bratu,8.2.2,(hail),x1 is hail/sleet/freezing rain/solid precipitation of material/composition including x2.
kunra,8.2.3,(mineral ‘mined’),x1 is/contains/is made from a mineral/ore of type/metal x2 mined from location/lode/mine x3.
rokci,8.2.3,(rock),x1 is a quantity of/is made of/contains rock/stone of type/composition x2 from location x3.
krili,8.2.3,(crystal),x1 is a quantity of/contains/is made of crystal of composition x2 in form/arrangement x3.
jemna,8.2.3,(gem),x1 is a gem/polished stone/pearl of type x2 from gemstone/material/source x3.
kliti,8.2.3,(clay),"x1 is a quantity of/contains/is made of clay [moist, clammy dirt] of composition including x2."
canre,8.2.3,(sand),x1 is a quantity of/contains/is made of sand/grit from source x2 of composition including x3.
bakri,8.2.3,(chalk),x1 is a quantity of/contains/is made of chalk from source x2 in form x3.
silna,8.2.3,(salt),"x1 is a portion/quantity of salt from source x2, of composition including x3."
kolme,8.2.3,(coal),x1 is a quantity of/contains/is made of coal/peat/anthracite/bitumen from source x2.
ctile,8.2.3,(petroleum ‘oil’),x1 is a quantity of petroleum/oil from source x2.
tarla,8.2.3,(tar),x1 is a quantity of/contains/is made of tar/asphalt from source x2.
dertu,8.2.3,(dirt),x1 is a quantity of/contains/is made of dirt/soil/earth/ground from source x2 of composition x3.
jutsi,9,(species),"x1 is a species of genus x2, family x3, etc.; [open-ended tree-structure categorization]."
jmive,9,(live),x1 lives/is alive by standard x2; x1 is an organism/living thing.
morsi,9,(dead ‘mort-’),x1 is dead/has ceased to be alive.
catra,9,(kill ‘slaughter’),x1 (agent) kills/slaughters/murders x2 by action/method x3.
makcu,9,(mature),x1 is mature/ripe/fully-grown/adult in development-quality x2 (ka).
xadni,9,(body),x1 is a/the body/corpus/corpse of x2; (adjective:) x1 is corporal/corporeal.
panzi,9,(offspring),x1 is a [biological] offspring/child/kid/hybrid of parent(s) x2; (adjective:) x1 is filial.
jgina,9,(gene),x1 is a gene of creature [or locus on creature] x2 determining trait/process x3.
lanbi,9,(protein ‘albumin’),x1 is a quantity of protein/albumin of type x2 composed of amino acids (sequence/jo'u) x3 .
cecmu,9,(community),x1 is a community/colony of organisms x2.
fusra,9,(rotten ‘rot’),x1 rots/decays/ferments with decay/fermentation agent x2; x1 is rotten/decayed/fermented.
ferti,9,(fertile),x1 is fertile/conducive for supporting the growth/development of x2; x1 is fruitful/prolific.
jurme,9,(germ),x1 is a bacterium/germ/microbe/protozoan/amoeba [1-celled life] of species/defining property x2.
vidru,9,(virus),x1 is a virus of species/breed/defining property x2 capable of infecting [at] x3.
spati,9.1,(plant),x1 is a plant/herb/greenery of species/strain/cultivar x2.
tricu,9.1,(tree),x1 is a tree of species/cultivar x2.
ckunu,9.1,(conifer ‘cone’),x1 is a conifer/pine/fir of species/strain x2 with cones x3.
srasu,9.1,(grass),x1 is a blade/expanse of grass of species x2.
clika,9.1,(mossy),x1 is a moss/lichen of species/strain x2 growing on x3; (adjective:) x1 is mossy.
mledi,9.1,(mold),x1 is a mold/fungus/mushrooms/truffles of species/strain x2 parasitic/growing on x3.
genja,9.1.1,(root),"x1 is a root [body-part] of plant/species x2; [metaphor: immobile, supporting, nourishing]."
balji,9.1.1,(bulb ‘bulge’),"x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy]."
stani,9.1.1,(stalk),x1 is a/the stalk/stem/trunk [body-part] of plant/species x2; [metaphor: main support].
pezli,9.1.1,(leaf),x1 is a leaf of plant x2; x1 is foliage of x2.
xrula,9.1.1,(flower),x1 is a/the flower/blossom/bloom [body-part] of plant/species x2; (adjective:) x1 is floral.
grute,9.1.1,(fruit),x1 is a fruit [body-part] of species x2.
tsiju,9.1.1,(seed),x1(s) is/are (a) seed(s)/spore(s) [body-part] of organism x2 for producing offspring x3.
narge,9.1.1,(nut),x1 is a nut [body-part: hard-shelled fruit] from plant/species x2 with shell x3 and kernel x4.
jbari,9.1.1,(berry),x1 is a berry (fruit/plant) of plant/species x2.
dembi,9.1.1,(bean),x1 is a bean/pea/leguminous seed from plant [legume] x2.
gurni,9.1.1,(grain),x1 is grain/[British: corn]/cereal from plant/species x2.
stagi,9.1.1,(vegetable ‘stalky’),x1 is the edible x2 portion of plant x3; x1 is a vegetable.
rozgu,9.1.2,(rose),x1 is a rose [flower - characterized by prickly stem/fragrance] of species/strain x2.
tujli,9.1.2,(tulip),x1 is a tulip (defined by flower shape) of species/strain x2.
latna,9.1.2,(lotus),"x1 is a lotus, plant/flower/herb of species/strain x2 symbolizing x3 to culture/religion x4."
badna,9.1.3,(banana),x1 is a banana/plantain [fruit/plant] of species/breed x2.
nimre,9.1.3,(citrus ‘lime’),"x1 is a quantity of citrus [fruit/tree, etc.] of species/strain x2."
plise,9.1.3,(apple),x1 is an apple [fruit] of species/strain x2.
perli,9.1.3,(pear),x1 is a pear [fruit] of species/strain x2.
guzme,9.1.3,(melon),x1 is a melon/squash [fruit/plant] of species/strain x2.
figre,9.1.3,(fig),x1 is a fig [fruit/tree] of species/strain x2.
kobli,9.1.4,(cabbage ‘cole-’),x1 is a quantity of cabbage/lettuce/leafy vegetable of species/strain x2.
tamca,9.1.4,(tomato),x1 is a tomato [fruit/vegetable/plant] of species/strain x2.
sluni,9.1.4,(onion),x1 is a quantity of/contains onions/scallions of type/cultivar x2.
sunga,9.1.4,(garlic),x1 is a quantity of garlic [bulb] of species/strain x2.
patlu,9.1.4,(potato),x1 is a potato [an edible tuber] of variety/cultivar x2.
samcu,9.1.4,(cassava ‘yam’),x1 is a quantity of cassava/taro/manioc/tapioca/yam [edible starchy root] of species/strain x2.
bavmi,9.1.5,(barley),x1 is a quantity of barley [grain] of species/strain x2.
cunmi,9.1.5,(millet),x1 is a quantity of millet [grain] of species/strain x2.
mavji,9.1.5,(oats),x1 is a quantity of oats [grain] of species/strain x2.
maxri,9.1.5,(wheat),x1 is a quantity of wheat [grain] of species/strain x2.
mraji,9.1.5,(rye),x1 is a quantity of rye [grain] of species/strain x2.
sobde,9.1.5,(soya),x1 is a quantity of soya [grain/bean] of species/strain x2.
sorgu,9.1.5,(sorghum),x1 is a quantity of sorghum of species/strain x2.
xruba,9.1.5,(buckwheat ‘rhubarb’),x1 is a quantity of buckwheat/rhubarb/sorrel grass of species/strain x2.
zumri,9.1.5,(maize),x1 is a quantity of maize/corn [grain] of species/strain x2.
rismi,9.1.5,(rice),x1 is a quantity of rice [a type of grain] of strain/cultivar x2.
cindu,9.1.6,(oak),"x1 is an oak, a type of tree of species/strain x2."
tanko,9.1.6,(tobacco),x1 is a quantity of tobacco [leaf] of species/strain x2.
marna,9.1.6,(hemp ‘marijuana’),x1 is a quantity of hemp/marijuana/jute of species/strain x2.
danlu,9.2,(animal),x1 is an animal/creature of species x2; x1 is biologically animate.
cilce,9.2,(wild),(adjective:) x1 is wild/untamed.
curnu,9.2.1,(worm),x1 is a worm/invertebrate animal of species/breed x2.
cinki,9.2.1,(insect),x1 is an insect/arthropod of species x2; [bug/beetle].
finpe,9.2.1,(fish ‘fin’),"x1 is a fish of species x2 [metaphorical extension to sharks, non-fish aquatic vertebrates]."
banfi,9.2.1,(amphibian),x1 is an amphibian of species/breed x2.
respa,9.2.1,(reptile),x1 is a reptile of species/breed x2.
cipni,9.2.1,(bird),x1 is a bird/avian/fowl of species x2.
mabru,9.2.1,(mammal),x1 is a mammal/'animal'/beast of species x2.
jukni,9.2.2,(spider ‘arachnid’),x1 is a spider/arachnid/crustacean/crab/lobster/non-insect arthropod of species/breed x2.
jalra,9.2.2,(cockroach),x1 is a cockroach/orthopteran/termite of order/species/breed x2.
sfani,9.2.2,(fly),x1 is a fly [a small non-stinging flying insect] of species/breed x2.
toldi,9.2.2,(butterfly),x1 is a butterfly/moth of species/breed x2.
manti,9.2.2,(ant),x1 is an ant of species/breed x2.
bifce,9.2.2,(bee),x1 is a bee/wasp/hornet of species/breed x2.
civla,9.2.2,(louse),"x1 is a louse/flea [blood-sucking arthropod] of species/breed x2, parasitic on x3."
since,9.2.2,(snake),x1 is a snake/serpent of species/breed x2.
jipci,9.2.2,(chicken),x1 is a chicken/[hen/cock/rooster]/small fowl [a type of bird] of species/breed x2.
xruki,9.2.2,(turkey),x1 is a turkey [food/bird] of species/breed x2.
datka,9.2.2,(duck),x1 is a duck/[drake] of species/breed x2.
gunse,9.2.2,(goose),x1 is a goose/[gander] of species/breed x2.
ractu,9.2.2,(rabbit),x1 is a rabbit/hare/[doe] of species/breed x2.
ratcu,9.2.2,(rat),x1 is a rat of species/breed x2.
smacu,9.2.2,(mouse),x1 is a mouse of species/breed x2.
xanto,9.2.2,(elephant),
xarju,9.2.2,(pig ‘hog’),x1 is a pig/hog/swine/[boar] [pork/ham/bacon-producer] of species/breed x2.
bakni,9.2.2,(bovine ‘ox’),x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2.
lanme,9.2.2,"(sheep ‘lanolin, lamb’)",x1 is a sheep/[lamb/ewe/ram] of species/breed x2 of flock x3.
kanba,9.2.2,"(goat ‘kid, billy, baa’)",x1 is a goat/angora/[billy-goat/kid] of species/breed x2.
mirli,9.2.2,(deer),x1 is a deer/elk/moose/[hart/stag/doe] of species/breed x2.
kumte,9.2.2,(camel),x1 is a camel/llama/alpaca/vicuna/dromedary of species/breed x2.
xirma,9.2.2,(horse),x1 is a horse/equine/[colt/mare/stallion/pony] of species/breed x2.
xasli,9.2.2,(donkey ‘ass’),x1 is a donkey/jackass of species/breed x2.
cribe,9.2.2,(bear),x1 is a bear/ursoid of species/breed x2.
mlatu,9.2.2,(cat),x1 is a cat/[puss/pussy/kitten] [feline animal] of species/breed x2; (adjective:) x1 is feline.
cinfo,9.2.2,(lion),x1 is a lion/[lioness] of species/breed x2.
tirxu,9.2.2,(tiger),x1 is a tiger/leopard/jaguar/[tigress] of species/breed x2 with coat markings x3.
gerku,9.2.2,(dog),x1 is a dog/canine/[bitch] of species/breed x2.
labno,9.2.2,(wolf ‘lobo’),x1 is a wolf/lupine of species/breed x2.
lorxu,9.2.2,(fox),x1 is a fox [bushy-tailed wild dog/canine] of species/breed x2.
smani,9.2.2,(monkey ‘simian’),x1 is a monkey/ape/simian/baboon/chimpanzee of species/breed x2.
remna,9.2.2,(human),x1 is a human/human being/man (non-specific gender-free sense); (adjective:) x1 is human.
rango,9.2.3,(organ),x1 is a/the body organ [body-part] of body/species x2 performing function x3.
stedu,9.2.3,(head),x1 is a/the head [body-part] of x2; [metaphor: uppermost portion].
flira,9.2.3,(face),x1 is a/the face [head/body-part] of x2; (adjective:) x1 is facial.
mebri,9.2.3,(brow),x1 is a/the brow/forehead [projecting flat/smooth head/body-part] of x2.
kanla,9.2.3,(eye ‘ocular’),x1 is a/the eye [body-part] of x2; [metaphor: sensory apparatus]; (adjective:) x1 is ocular.
nazbi,9.2.3,(nose ‘nasal’),x1 is the nose [body-part] of x2 with nostril(s)/nasal passage(s) x3; [metaphor: protrusion].
kerlo,9.2.3,"(ear ‘aural, earlobe’)","x1 is a/the ear [body-part] of x2; [metaphor: sensory apparatus, information gathering]."
moklu,9.2.3,(mouth ‘oral’),x1 is a/the mouth/oral cavity [body-part] of x2; (metaphor: entrance/intake for consumption).
ctebi,9.2.3,(lip ‘labial’),x1 is a/the lip [body-part]/rim of orifice x2 of body x3; (adjective:) x1 is labial.
tance,9.2.3,(tongue),"x1 is a/the tongue [body-part] of x2; (metaphor: similar to nazbi, tamji, degji)."
xedja,9.2.3,(jaw),x1 is a/the jaw [body-part] of x2.
denci,9.2.3,(tooth ‘dental’),x1 is a/the tooth [body-part] of x2; (adjective:) x1 is dental.
galxe,9.2.3,(throat ‘gullet’),x1 is a/the throat/gullet [body-part] of x2; [metaphor: narrow(ing) opening of a deep hole].
cnebo,9.2.3,(neck),x1 is a/the neck [body-part] of x2; [metaphor: a relatively narrow point].
janco,9.2.3,(shoulder),x1 is a/the shoulder/hip/joint [body-part] attaching limb/extremity x2 to body x3.
birka,9.2.3,(arm),x1 is a/the arm [body-part] of x2; [metaphor: branch with strength].
tuple,9.2.3,(leg),x1 is a/the leg [body-part] of x2; [metaphor: supporting branch].
xance,9.2.3,(hand),"x1 is a/the hand [body-part] of x2; [metaphor: manipulating tool, waldo]."
jamfu,9.2.3,(foot),x1 is a/the foot [body-part] of x2; [metaphor: lowest portion] (adjective:) x1 is pedal.
cidni,9.2.3,(knee),"x1 is a/the knee/elbow/knuckle [hinged joint, body-part] of limb x2 of body x3."
degji,9.2.3,(finger ‘digit’),x1 is a/the finger/digit/toe [body-part] on limb/body site x2 of body x3; [metaphor: peninsula].
tamji,9.2.3,(thumb),x1 is a/the thumb/big toe [body-part] on limb x2 of x3; [metaphor based on relative shape].
cinza,9.2.3,(tongs),x1 is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for x2 to pinch x3.
nalci,9.2.3,(wing),x1 is a/the wing [body-part] of x2; [metaphor: lateral supporting surface].
cutne,9.2.3,(chest),x1 is a/the chest/thorax/upper trunk/[rib cage/breast] [body-part] of x2.
tatru,9.2.3,(breast ‘teat’),x1 is a/the breast/mammary/teat [body-part] of x2; [metaphor: projection providing liquid].
betfu,9.2.3,(abdomen ‘belly’),x1 is a/the abdomen/belly/lower trunk [body-part] of x2; [metaphor: midsection].
plibu,9.2.3,(pubic),x1 is a/the pubic area/external genitalia [body-part] of x2.
pinji,9.2.3,(penis),x1 is a/the clitoris/penis [projecting reproductive organ; body-part] of x2.
vlagi,9.2.3,(vulva),x1 is a/the vulva [body-part] of x2.
zargu,9.2.3,(buttock ‘arse’),"x1 is a/the buttock(s)/arse/rear/seat [body-part] of x2; [metaphor: rounded surface, support]."
ganxo,9.2.3,(anus ‘asshole\s arsehole’),"x1 is a/the anus/anal orifice/asshole/arsehole [body-part] of x2; [metaphor: exit, waste exit]."
rebla,9.2.3,(tail),"x1 is a/the tail/appendix [body-part] of x2; [metaphor: trailing, following portion/appendage]."
kerfa,9.2.4,(hair),x1 is a/the hair/fur [body-part] of x2 at body location x3.
sunla,9.2.4,(wool),x1 is a quantity of/made from/consists of wool [tight curly hair] from animal/species/source x2.
pimlu,9.2.4,(feather ‘plume’),x1 is a/the feather/plume(s)/plumage [body-part] of animal/species x2.
jgalu,9.2.4,(claw ‘talon’),"x1 is a/the claw/nail/talon [body-part] of x2; [metaphor: pointed, penetrating, physical weapon]."
sufti,9.2.4,(hoof),x1 is a/the hoof [body-part] of x2.
jirna,9.2.4,(horn),x1 is a/the horn [body-part] of x2; [metaphor: pointed extremity].
ciblu,9.2.5,(blood),x1 is blood/vital fluid of organism x2.
bongu,9.2.5,(bone),"x1 is a/the bone/ivory [body-part], performing function x2 in body of x3; [metaphor: calcium]."
sluji,9.2.5,(muscle),"x1 is a/the muscle [body-part] controlling x2, of body x3; [metaphor: tools of physical power]."
nirna,9.2.5,(nerve),x1 is a nerve/neuron [body-part] of x2; [metaphor: information/control network connection].
cigla,9.2.5,(gland),"x1 is a/the gland [body-part] secreting x2, of body x3; x2 is a secretion of x1."
besna,9.2.5,(brain),"x1 is a/the brain [body-part] of x2; [metaphor: intelligence, mental control]."
risna,9.2.5,(heart ‘cardiac’),x1 is a/the heart [body-part] of x2; [emotional/shape metaphors are NOT culturally neutral].
fepri,9.2.5,(lung ‘pulmonary’),x1 is a/the lung [body-part] of x2; [metaphor: breathing/respiratory apparatus/bellows].
canti,9.2.5,(gut ‘entrails’),x1 is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of x2.
livga,9.2.5,(liver),x1 is a/the liver [body-part] of x2.
vibna,9.2.5,(vagina),x1 is a/the vagina [body-part] of x2.
gutra,9.2.5,(womb ‘uterus’),"x1 is a/the womb/uterus [body-part] of x2; [metaphor: nourishing, protective, giving birth]."
ganti,9.2.5,(testicle ‘testes’),"x1 is a/the testes/ovary/testicle/scrotum/balls/gonad/stamen/pistil [body-part] of x2, gender x3."
vasxu,9.3,(breathe ‘vascular’),x1 breathes/respires x2 [gas].
kafke,9.3,(cough),x1 coughs/farts/burps up/out x2 [predominantly gaseous] from orifice x3.
senci,9.3,(sneeze),x1 sneezes (intransitive verb).
xasne,9.3,(sweat),"x1 is a/the sweat/perspiration from body x2, excreted by gland(s)/organs x3."
citka,9.3.1,(eat),x1 eats/ingests/consumes (transitive verb) x2.
pinxe,9.3.1,(drink),x1 (agent) drinks/imbibes beverage/drink/liquid refreshment x2 from/out-of container/source x3.
cidja,9.3.1,(food ‘feed’),x1 is food/feed/nutriment for x2; x1 is edible/gives nutrition to x2.
vindu,9.3.1,(poison ‘venom’),x1 is poisonous/venomous/toxic/a toxin to x2.
vikmi,9.3.1,(excrete),x1 [body] excretes waste x2 from source x3 via means/route x4.
kalci,9.3.1,(feces ‘shit’),x1 is a/the feces/excrement/dung/shit of x2 (animal/person); (adjective:) x1 is fecal (matter).
pinca,9.3.1,(urine ‘piss’),x1 is a/the urine/piss/pee of x2.
vamtu,9.3.1,(vomit),x1 vomits/regurgitates x2; x1 throws x2 up; [violent] digestive expulsion.
cinse,9.3.2,(sexual),x1 in activity/state x2 exhibits sexuality/gender/sexual orientation x3 (ka) by standard x4.
fetsi,9.3.2,(female ‘fem-’),x1 is a female/doe of species x2 evidencing feminine trait(s) x3 (ka); x1 is feminine.
nakni,9.3.2,(male ‘masculine’),x1 is a male/buck of species x2 evidencing masculine trait(s) x3 (ka); x1 is masculine.
rorci,9.3.2,(procreate),x1 engenders/procreates/begets x2 with coparent x3.
gletu,9.3.2,(copulate ‘coitus’),x1 copulates/fucks/mates/has coitus/sexual intercourse with x2.
sovda,9.3.2,(egg ‘ovum’),x1 is an egg/ovum/sperm/pollen/gamete of/from organism [mother/father] x2.
tarbi,9.3.2,(embryo),"x1 is an embryo/zygote/fetus/fertilized egg with mother x2, and father x3."
cifnu,9.3.2,(infant),x1 is an infant/baby [helpless through youth/incomplete development] of species x2.
verba,9.3.2,(child),"x1 is a child/kid/juvenile [a young person] of age x2, immature by standard x3."
jbena,9.3.2,(born ‘bear’),x1 is born to x2 at time x3 [birthday] and place x4 [birthplace]; x1 is native to (fo) x4.
kanro,9.3.3,(healthy),x1 is healthy/fit/well/in good health by standard x2.
bilma,9.3.3,(ill),x1 is ill/sick/diseased with symptoms x2 from disease x3.
jinku,9.3.3,(vaccine),x1 is a vaccine/immune-system stimulant protecting x2 against disease x3 introduced by method x4.
kenra,9.3.3,(cancer),x1 is a cancer [malignant disease] in x2.
spita,9.3.3,(hospital),x1 is a hospital treating patient(s) x2 for condition/injuries/disease/illness x3.
frati,9.3.4,(react),x1 reacts/responds/answers with action x2 to stimulus x3 under conditions x4; x1 is responsive.
bacru,9.3.4,(utter),x1 utters verbally/says/phonates/speaks [vocally makes sound] x2.
krixa,9.3.4,(cry out),x1 cries out/yells/howls sound x2; x1 is a crier.
cikna,9.3.4,(awake),(adjective:) x1 is awake/alert/conscious.
sipna,9.3.4,(sleep),x1 is asleep (adjective); x1 sleeps/is sleeping.
kalte,9.3.4,(hunt),x1 hunts/stalks prey/quarry/game x2 for purpose x3.
kelci,9.3.4,(play),x1 [agent] plays with plaything/toy x2.
tcaci,9.3.4,(custom ‘habit’),x1 is a custom/habit/[ritual/rut] of x2 under conditions x3.
xabju,9.3.4,(dwell ‘inhabit’),x1 dwells/lives/resides/abides at/inhabits/is a resident of location/habitat/nest/home/abode x2.
zdani,9.3.4,(nest ‘den’),x1 is a nest/house/lair/den/[home] of/for x2.
ganse,9.4,(sense),x1 [observer] senses/detects/notices stimulus property x2 (ka) by means x3 under conditions x4.
tunta,9.4,(poke ‘stab’),"x1 (object, usually pointed) pokes/jabs/stabs/prods x2 (experiencer)."
zgana,9.4,(observe),x1 observes/[notices]/watches/beholds x2 using senses/means x3 under conditions x4.
carmi,9.4,(intense),x1 is intense/bright/saturated/brilliant in property (ka) x2 as received/measured by observer x3.
kandi,9.4,(dim),x1 is dim/dull/pale/non-intense in property x2 (ka) as received/measured by observer x3.
savru,9.4,(noise ‘clamor’),x1 is a noise/din/clamor [sensory input without useful information] to x2 via sensory channel x3.
kukte,9.4,"(delicious ‘cooked, tasty’)","x1 is delicious/tasty/delightful to observer/sense x2 [person, or sensory activity]."
cpina,9.4,(pungent),x1 is pungent/piquant/peppery/spicy/irritating to sense x2.
sance,9.4.1,(sound),x1 is sound produced/emitted by x2.
tirna,9.4.1,(hear),x1 hears x2 against background/noise x3; x2 is audible; (adjective:) x1 is aural.
cladu,9.4.1,(loud),x1 is loud/noisy at observation point x2 by standard x3.
smaji,9.4.1,(quiet ‘silent’),x1 (source) is quiet/silent/[still] at observation point x2 by standard x3.
siclu,9.4.1,(whistle),x1 [sound source] whistles/makes whistling sound/note/tone/melody x2.
tonga,9.4.1,(tone),x1 is a tone/note of frequency/pitch x2 from source x3.
